"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
181912016,18191,2016,"TN0050200","TN0050200","","N","N",,"I","MARYVILLE","MARYVILLE PD","Maryville","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",28661,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",46,3,49,4,3,7,0,0,01-JUL-96,01-JAN-98,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
181942016,18194,2016,"TN0050500","TN0050500","","N","N",,"I","TOWNSEND","TOWNSEND PD","Townsend","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",453,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUL-96,01-JUL-99,01-JUN-04,01-JAN-13,01-JUN-15,01-MAY-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
181952016,18195,2016,"TN0050600","TN0050600","","N","N",,"I","DTF:5TH JUDICIAL DISTRIC","FIFTH JUDICIAL DISTRICT DRUG TASK FORCE","Drug Task Force:","5th Judicial District","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",0,0,0,0,0,0,0,0,01-JUL-96,01-AUG-98,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
181962016,18196,2016,"TN0050700","TN0050700","","N","N",,"I","KNOXVILLE METRO AIRPORT","METRO KNOXVILLE AIRPORT AUTHORITY PD KNOXVILLE","Knoxville Metropolitan Airport","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",26,10,36,2,8,10,0,0,01-JUL-96,01-JUN-98,01-AUG-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BLOUNT","Knoxville, TN","Y","Y","Y"
181982016,18198,2016,"TN0060000","TN0060000","","N","N",,"I","BRADLEY","BRADLEY CO SO CLEVELAND","Bradley","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",59994,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",102,65,167,13,39,52,0,0,01-JUL-96,01-DEC-97,01-JUN-04,01-JAN-13,01-JUL-15,01-MAY-13,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
181992016,18199,2016,"TN0060100","TN0060100","","N","N",,"I","CLEVELAND","CLEVELAND PD","Cleveland","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",44423,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",78,6,84,7,12,19,0,0,01-JUL-96,01-MAR-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
182002016,18200,2016,"TN0060200","TN0060200","","N","N",,"I","CHARLESTON","CHARLESTON PD","Charleston","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","City",681,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUL-96,01-JUN-99,01-JUL-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
182012016,18201,2016,"TN0060300","TN0060300","","N","N",,"I","DTF:10TH JUDICIAL DISTRI","TENTH JUDICIAL DIST DRUG TASK FORCE CHARLESTON","Drug Task Force:","10th Judicial District","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",7,0,7,0,1,1,0,0,01-JUL-96,01-MAR-99,01-JUN-04,01-JAN-13,01-JUN-15,01-APR-13,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
182022016,18202,2016,"TN0060400","TN0060400","","N","N",,"I","SPR: RED CLAY ST HIS PK","ST PARK RNGRS RED CLAY STATE PARK CLEVELAND","State Park Rangers:","Red Clay State Historic Park","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","Other State Agency",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,1,0,1,0,0,01-JUL-96,01-JAN-01,01-APR-05,01-MAY-16,01-MAY-16,01-MAY-16,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
182032016,18203,2016,"TN0060500","TN0060500","","N","N",,"I","CLEVELAND STATE COM COL","CLEVELAND STATE COMMUNITY COLLEGE SECURITY","Cleveland State Community College","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","University or College",0,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,1,3,1,0,1,0,0,01-JUL-96,01-JAN-98,01-MAR-11,01-NOV-13,01-JUN-15,01-NOV-13,"N","BRADLEY","Cleveland, TN","Y","Y","Y"
182062016,18206,2016,"TN0070000","TN0070000","","N","N",,"I","CAMPBELL","CAMPBELL CO SO JACKSBORO","Campbell","","A",47,"Tennessee","TN","TN","6","East South Central","3","South","Region III","County",26189,23392,"TNUCR0001","Tennessee Bureau of Investigation Statistics","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",47,28,75,0,17,17,0,0,01-JUL-96,01-OCT-97,01-DEC-04,01-JAN-13,01-JUN-15,01-APR-13,"N","CAMPBELL","Knoxville, TN","Y","Y","Y"
