"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
174672017,17467,2017,"SC0022600","SC0022600","","N","N",,"I","STP: AIKEN COUNTY","STATE TRANSPORT POLICE","State Transport Police:","Aiken County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",4,0,4,0,0,0,0,0,01-JAN-90,01-JAN-03,01-AUG-07,01-MAR-13,,01-NOV-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174692017,17469,2017,"SC002FC00","SC002FC00","","N","N",,"I","FC: AIKEN COUNTY","FC: AIKEN COUNTY","Forestry Commission:","Aiken County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",1,0,1,0,0,0,0,0,01-JAN-90,01-JAN-04,01-NOV-08,01-AUG-11,,,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174702017,17470,2017,"SC002NR00","SC002NR00","","N","N",,"I","DNR: AIKEN COUNTY","DNR: AIKEN COUNTY","Department of Natural Resources:","Aiken County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",4,0,4,0,0,0,0,0,01-JAN-90,01-MAR-99,01-AUG-07,,,,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174712017,17471,2017,"SC002SP00","SC002SP00","","N","N",,"I","HP: AIKEN COUNTY","HP: AIKEN COUNTY","Highway Patrol:","Aiken County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","State Police",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","AIKEN","Augusta-Richmond County, GA-SC","Y","Y","Y"
174732017,17473,2017,"SC0030100","SC0030100","","N","N",,"I","ALLENDALE","ALLENDALE PD","Allendale","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","City",2983,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,3,0,3,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-JUN-11,,01-FEB-17,"N","ALLENDALE","Non-MSA","Y","Y","Y"
174752017,17475,2017,"SC0032600","SC0032600","","N","N",,"I","STP: ALLENDALE COUNTY","STATE TRANSPORT POLICE","State Transport Police:","Allendale County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",3,0,3,0,0,0,0,0,01-JAN-90,01-JAN-04,01-APR-12,01-APR-12,,01-APR-18,"N","ALLENDALE","Non-MSA","Y","Y","Y"
174772017,17477,2017,"SC003FC00","SC003FC00","","N","N",,"I","FC: ALLENDALE COUNTY","FC: ALLENDALE COUNTY","Forestry Commission:","Allendale County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",0,0,0,0,0,0,0,0,01-JAN-90,01-JAN-04,01-APR-09,01-SEP-11,,01-AUG-17,"N","ALLENDALE","Non-MSA","Y","Y","Y"
174782017,17478,2017,"SC003NR00","SC003NR00","","N","N",,"I","DNR: ALLENDALE COUNTY","DNR: ALLENDALE COUNTY","Department of Natural Resources:","Allendale County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","Other State Agency",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",3,0,3,0,0,0,0,0,01-JAN-90,01-JUN-99,01-JUN-99,,,,"N","ALLENDALE","Non-MSA","Y","Y","Y"
174792017,17479,2017,"SC003SP00","SC003SP00","","N","N",,"I","HP: ALLENDALE COUNTY","HP: ALLENDALE COUNTY","Highway Patrol:","Allendale County","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","State Police",0,23390,"SCUCR0001","South Carolina Law Enforcement Division","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-JUN-11,,01-APR-17,"N","ALLENDALE","Non-MSA","Y","Y","Y"
174802017,17480,2017,"SC0040000","SC0040000","","N","N",,"I","ANDERSON","ANDERSON CO SO ANDERSON","Anderson","","A",45,"South Carolina","SC","SC","5","South Atlantic","3","South","Region III","County",152709,23390,"SCUCR0001","South Carolina Law Enforcement Division","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","N",,,,,,,0,0,01-JAN-90,01-JAN-91,01-JAN-07,01-MAY-11,,01-FEB-17,"N","ANDERSON","Greenville-Anderson, SC","Y","Y","Y"
